Gene	Cell Type
WDR5	Germ cells
DMRT1	Germ cells
STRA8	Germ cells
ZMYND19	Germ cells
MDN1	Germ cells
PIWIL2	Germ cells
CYCT	Germ cells
NR6A1	Germ cells
RSBN1L	Germ cells
DYNLT1	Germ cells
PARN	Germ cells
MKI67	Germ cells
CHEK1	Germ cells
BRCA1	Germ cells
DMC1	Germ cells
MRPL14	Germ cells
MLH3	Germ cells
SPAG6	Germ cells
ZPBP2	Germ cells
DNAH6	Germ cells
CAMK4	Germ cells
CREM	Germ cells
MYO1D	Germ cells
HOOK1	Germ cells
DRD2	Glomus cells
NOS1	Glomus cells
PHOX2B	Glomus cells
TH	Glomus cells
HMOX2	Glomus cells
NDUFA4L2	Glomus cells
COX4I2	Glomus cells
IL1R1	Glomus cells
TNFRSF1A	Glomus cells
CTH	Glomus cells
CBS	Glomus cells
GJA1	Glomus cells
KCNK3	Glomus cells
ASIC1	Glomus cells
ASIC3	Glomus cells
CALD1	Glomus cells
COL4A1	Glomus cells
VIM	Glomus cells
EPAS1	Glomus cells
GFRA1	Glomus cells
GFRA2	Glomus cells
GAP43	Glomus cells
MMP9	Glomus cells
IL6ST	Glomus cells
KCNJ11	Glomus cells
KCNJ8	Glomus cells
ABCC8	Glomus cells
KCNK9	Glomus cells
SLC17A7	Glutaminergic neurons
SLC17A6	Glutaminergic neurons
GRIN1	Glutaminergic neurons
GRIN2B	Glutaminergic neurons
GLS	Glutaminergic neurons
MEIS2	Glutaminergic neurons
SLC17A8	Glutaminergic neurons
SLC1A1	Glutaminergic neurons
SLC1A2	Glutaminergic neurons
SLC1A6	Glutaminergic neurons
SLC6A9	Glycinergic neurons
SLC32A1	Glycinergic neurons
CREB3L1	Goblet cells
NLRP6	Goblet cells
MUC5AC	Goblet cells
MUC2	Goblet cells
SLC9A8	Goblet cells
OTOGL	Goblet cells
ITLN1	Goblet cells
AQP3	Goblet cells
CDON	Goblet cells
MUC4	Goblet cells
MUC5B	Goblet cells
TMEM207	Goblet cells
TFF3	Goblet cells
AGR2	Goblet cells
CDX2	Goblet cells
KRT7	Goblet cells
KRT20	Goblet cells
MUC3	Goblet cells
GUCA2A	Goblet cells
PHGR1	Goblet cells
MUC13	Goblet cells
FCGBP	Goblet cells
CLCA1	Goblet cells
ZG16	Goblet cells
TPSG1	Goblet cells
GALNT12	Goblet cells
ATOH1	Goblet cells
REP15	Goblet cells
PDIA5	Goblet cells
PLA2G10	Goblet cells
KLK1	Goblet cells
SPDEF	Goblet cells
LRRC26	Goblet cells
BACE2	Goblet cells
MANF	Goblet cells
CCL9	Goblet cells
SPINK4	Goblet cells
AMH	Granulosa cells
MCAM	Granulosa cells
KITL	Granulosa cells
BOK	Granulosa cells
ADAMTS1	Granulosa cells
LOX	Granulosa cells
FHL1	Granulosa cells
INHA	Granulosa cells
HSD3B1	Granulosa cells
AKR1CL	Granulosa cells
HTRA1	Granulosa cells
GAPDH	Granulosa cells
TNNI3	Granulosa cells
HSD17B1	Granulosa cells
HJURP	Granulosa cells
FSHR	Granulosa cells
FOXL2	Granulosa cells
CYP19A1	Granulosa cells
ETV2	Hemangioblasts
T	Hemangioblasts
TAL1	Hemangioblasts
THY1	Hematopoietic stem cells
MPL	Hematopoietic stem cells
KIT	Hematopoietic stem cells
PROM1	Hematopoietic stem cells
FLT3	Hematopoietic stem cells
SLAMF1	Hematopoietic stem cells
CXCR4	Hematopoietic stem cells
TEK	Hematopoietic stem cells
ABCG2	Hematopoietic stem cells
BAALC	Hematopoietic stem cells
SPN	Hematopoietic stem cells
CDCP1	Hematopoietic stem cells
MYADM	Hematopoietic stem cells
TGFB2	Hematopoietic stem cells
PTPRE	Hematopoietic stem cells
TAF7	Hematopoietic stem cells
GATA2	Hematopoietic stem cells
GPR171	Hematopoietic stem cells
ANGPT1	Hematopoietic stem cells
PROCR	Hematopoietic stem cells
NFE2	Hematopoietic stem cells
NKX2-3	Hematopoietic stem cells
HHEX	Hematopoietic stem cells
MEIS1	Hematopoietic stem cells
LYL1	Hematopoietic stem cells
ELF1	Hematopoietic stem cells
HLF	Hematopoietic stem cells
RGS18	Hematopoietic stem cells
MYCT1	Hematopoietic stem cells
ADGRG1	Hematopoietic stem cells
DNMT3B	Hematopoietic stem cells
MYCN	Hematopoietic stem cells
ARID3A	Hematopoietic stem cells
ITGA2B	Hematopoietic stem cells
GATA3	Hematopoietic stem cells
ROBO4	Hematopoietic stem cells
PITX2	Hematopoietic stem cells
TXNIP	Hematopoietic stem cells
RUNX1	Hematopoietic stem cells
PTPRS	Hematopoietic stem cells
PTPRC	Hematopoietic stem cells
CD44	Hematopoietic stem cells
GFI1	Hematopoietic stem cells
CD48	Hematopoietic stem cells
HMGB3	Hematopoietic stem cells
TLR2	Hematopoietic stem cells
APC	Hematopoietic stem cells
GNL3	Hematopoietic stem cells
MGST1	Hematopoietic stem cells
G0S2	Hematopoietic stem cells
PRNP	Hematopoietic stem cells
CD34	Hematopoietic stem cells
BMI1	Hematopoietic stem cells
ITGA4	Hematopoietic stem cells
ANPEP	Hematopoietic stem cells
CD33	Hematopoietic stem cells
IL3RA	Hematopoietic stem cells
HLX	Hematopoietic stem cells
NKX3-1	Hematopoietic stem cells
THSD1	Hematopoietic stem cells
NCOR2	Hematopoietic stem cells
EGR1	Hematopoietic stem cells
FGD5	Hematopoietic stem cells
MECOM	Hematopoietic stem cells
CTNNAL1	Hematopoietic stem cells
VWF	Hematopoietic stem cells
PBX2	Hematopoietic stem cells
TAL1	Hematopoietic stem cells
ERG	Hematopoietic stem cells
NEO1	Hematopoietic stem cells
EGR3	Hematopoietic stem cells
MAFF	Hematopoietic stem cells
ITGA6	Hematopoietic stem cells
GJB1	Hematopoietic stem cells
CDH2	Hematopoietic stem cells
ALDH1A1	Hematopoietic stem cells
GFI1B	Hematopoietic stem cells
NOTCH1	Hematopoietic stem cells
NOTCH2	Hematopoietic stem cells
PLXDC2	Hematopoietic stem cells
ESAM	Hematopoietic stem cells
ACE	Hematopoietic stem cells
TRPC6	Hematopoietic stem cells
HOXB5	Hematopoietic stem cells
TET2	Hematopoietic stem cells
ADAMTS13	Hepatic stellate cells
CYGB	Hepatic stellate cells
PPARG	Hepatic stellate cells
PDGFRA	Hepatic stellate cells
RGS5	Hepatic stellate cells
PPARA	Hepatic stellate cells
FOXF1	Hepatic stellate cells
ALB	Hepatic stellate cells
NR1H4	Hepatic stellate cells
CTGF	Hepatic stellate cells
SEMA7A	Hepatic stellate cells
PNPLA3	Hepatic stellate cells
WT1	Hepatic stellate cells
FGF10	Hepatic stellate cells
GFAP	Hepatic stellate cells
NGFR	Hepatic stellate cells
VEGFA	Hepatic stellate cells
ACTA2	Hepatic stellate cells
MYB	Hepatic stellate cells
DES	Hepatic stellate cells
FAP	Hepatic stellate cells
SLC8A1	Hepatic stellate cells
RELN	Hepatic stellate cells
SYP	Hepatic stellate cells
VCL	Hepatic stellate cells
TIMP1	Hepatic stellate cells
COL1A1	Hepatic stellate cells
TAGLN	Hepatic stellate cells
COL1A2	Hepatic stellate cells
COL3A1	Hepatic stellate cells
SPARC	Hepatic stellate cells
RBP1	Hepatic stellate cells
DCN	Hepatic stellate cells
MYL9	Hepatic stellate cells
TPM2	Hepatic stellate cells
MEG3	Hepatic stellate cells
BGN	Hepatic stellate cells
IGFBP7	Hepatic stellate cells
IGFBP3	Hepatic stellate cells
CYR61	Hepatic stellate cells
OLFML3	Hepatic stellate cells
IGFBP6	Hepatic stellate cells
CCL2	Hepatic stellate cells
COLEC11	Hepatic stellate cells
HGF	Hepatic stellate cells
AFP	Hepatoblasts
ALB	Hepatoblasts
CEBPA	Hepatoblasts
KRT14	Hepatoblasts
DLK1	Hepatoblasts
CDH1	Hepatoblasts
FOXM1	Hepatoblasts
GGT1	Hepatoblasts
HNF4A	Hepatoblasts
PROX1	Hepatoblasts
MAP2K4	Hepatoblasts
SMAD5	Hepatoblasts
KRT18	Hepatoblasts
KRT8	Hepatoblasts
HNF1B	Hepatoblasts
HHEX	Hepatoblasts
MET	Hepatoblasts
FOSL1	Hepatocytes
EPPK1	Hepatocytes
UCP2	Hepatocytes
GCK	Hepatocytes
LRP5	Hepatocytes
SLC10A1	Hepatocytes
NOS2	Hepatocytes
ATP7B	Hepatocytes
HNF4A	Hepatocytes
GJB2	Hepatocytes
FGFR4	Hepatocytes
PROX1	Hepatocytes
CRP	Hepatocytes
SLC2A2	Hepatocytes
TFR2	Hepatocytes
KIF13B	Hepatocytes
LIPC	Hepatocytes
VDR	Hepatocytes
ASGR1	Hepatocytes
ARG1	Hepatocytes
AFP	Hepatocytes
ALB	Hepatocytes
G6PC	Hepatocytes
OTC	Hepatocytes
UGT1A1	Hepatocytes
ZHX2	Hepatocytes
HHEX	Hepatocytes
FOXA3	Hepatocytes
FOXA2	Hepatocytes
FOXA1	Hepatocytes
CYP7A1	Hepatocytes
CYP2E1	Hepatocytes
CYP1A2	Hepatocytes
CEBPA	Hepatocytes
CDH1	Hepatocytes
GPC3	Hepatocytes
AHR	Hepatocytes
CYP1A1	Hepatocytes
NR1I3	Hepatocytes
CPS1	Hepatocytes
GLS2	Hepatocytes
PCK1	Hepatocytes
FCNA	Hepatocytes
TAT	Hepatocytes
WT1	Hepatocytes
PRRG4	Hepatocytes
SULT1A1	Hepatocytes
APOH	Hepatocytes
CTNNB1	Hepatocytes
ABCC3	Hepatocytes
FGB	Hepatocytes
AQP3	Hepatocytes
PLSCR1	Hepatocytes
FGA	Hepatocytes
APOB	Hepatocytes
ANG	Hepatocytes
ANXA13	Hepatocytes
SAT2	Hepatocytes
SFRP5	Hepatocytes
A1CF	Hepatocytes
APOA1	Hepatocytes
BNIP3	Hepatocytes
FGL1	Hepatocytes
PAH	Hepatocytes
SERPINA6	Hepatocytes
APOA2	Hepatocytes
AZGP1	Hepatocytes
FGG	Hepatocytes
APOC3	Hepatocytes
DEFB1	Hepatocytes
TM4SF4	Hepatocytes
GC	Hepatocytes
AMBP	Hepatocytes
ORM1	Hepatocytes
TTR	Hepatocytes
SERPINA1C	Hepatocytes
GULO	Hepatocytes
CYP2F2	Hepatocytes
HAL	Hepatocytes
ASS1	Hepatocytes
HMGCS1	Hepatocytes
ACSS2	Hepatocytes
TM7SF2	Hepatocytes
SEC16B	Hepatocytes
SLBP	Hepatocytes
RND3	Hepatocytes
BCHE	Hepatocytes
GHR	Hepatocytes
ALDH6A1	Hepatocytes
MASP2	Hepatocytes
HAMP	Hepatocytes
GLUL	Hepatocytes
ACLY	Hepatocytes
ASL	Hepatocytes
MUP3	Hepatocytes
TMEM97	Hepatocytes
CP	Hepatocytes
SLPI	Hepatocytes
ACAT2	Hepatocytes
TM4SF5	Hepatocytes
MSMO1	Hepatocytes
LEPR	Hepatocytes
RCAN1	Hepatocytes
AR	Hepatocytes
PLIN1	Hepatocytes
RPP25L	Hepatocytes
HSD11B1	Hepatocytes
APOM	Hepatocytes
TKFC	Hepatocytes
G0S2	Hepatocytes
PON3	Hepatocytes
TTC36	Hepatocytes
GOLT1A	Hepatocytes
FST	Hepatocytes
MCC	Hepatocytes
AQP9	Hepatocytes
GSTA2	Hepatocytes
NNT	Hepatocytes
SAA4	Hepatocytes
MRPS18C	Hepatocytes
OCIAD1	Hepatocytes
APOA5	Hepatocytes
ENTPD5	Hepatocytes
C4B	Hepatocytes
EID2	Hepatocytes
ATIC	Hepatocytes
SERPINH1	Hepatocytes
SAMD5	Hepatocytes
GRB14	Hepatocytes
ABCD3	Hepatocytes
RHOB	Hepatocytes
EPB41L4B	Hepatocytes
GPAT4	Hepatocytes
SPTBN1	Hepatocytes
SDC2	Hepatocytes
PHLDA1	Hepatocytes
WTAP	Hepatocytes
ACADM	Hepatocytes
GJA5	His bundle cells
GJC1	His bundle cells
KCNK3	His bundle cells
PAX6	Immature neurons
PCLO	Immature neurons
CUX2	Immature neurons
SLC12A5	Immature neurons
POMC	Immature neurons
STIM2	Immature neurons
RAX	Immature neurons
CUL5	Immature neurons
HIVEP2	Immature neurons
FUT9	Immature neurons
TBR1	Immature neurons
PROX1	Immature neurons
NTRK3	Immature neurons
RND2	Immature neurons
FEZF2	Immature neurons
SOX5	Immature neurons
ROBO1	Immature neurons
EPHA7	Immature neurons
EPHA3	Immature neurons
YY2	Immature neurons
SLC1A1	Immature neurons
NOTCH3	Immature neurons
NOTCH1	Immature neurons
LHX6	Immature neurons
NES	Immature neurons
RBFOX3	Immature neurons
CREB1	Immature neurons
NEUROD1	Immature neurons
ASCL1	Immature neurons
NTRK1	Immature neurons
SYN1	Immature neurons
NF1	Immature neurons
BCL2	Immature neurons
SLC6A5	Immature neurons
FOXD2	Immature neurons
ICAM5	Immature neurons
SSTR2	Immature neurons
NEUROG2	Immature neurons
FOXI1	Intercalated cells
SLC26A11	Intercalated cells
CLCNKB	Intercalated cells
SLC4A1	Intercalated cells
SLC26A4	Intercalated cells
ATP6V1B1	Intercalated cells
SLC4A8	Intercalated cells
AQP6	Intercalated cells
ATP6V1C2	Intercalated cells
ATP6V1G3	Intercalated cells
ATP6V0D2	Intercalated cells
OXGR1	Intercalated cells
RHCG	Intercalated cells
TMEM213	Intercalated cells
EGF	Intercalated cells
FXYD2	Intercalated cells
AVPR1A	Intercalated cells
CLCNKA	Intercalated cells
RHBG	Intercalated cells
DMRT2	Intercalated cells
P2RY14	Intercalated cells
AP1S3	Intercalated cells
INSRR	Intercalated cells
JAG1	Intercalated cells
ADGRF5	Intercalated cells
CALB1	Interneurons
CCK	Interneurons
CHAT	Interneurons
VSX2	Interneurons
EN1	Interneurons
ETV1	Interneurons
EVX1	Interneurons
GAD1	Interneurons
ISL1	Interneurons
LHX1	Interneurons
LHX5	Interneurons
LHX3	Interneurons
LHX6	Interneurons
GRM1	Interneurons
NPY	Interneurons
OPRM1	Interneurons
GRIN2D	Interneurons
NOS1	Interneurons
PVALB	Interneurons
PAX2	Interneurons
SST	Interneurons
TACR1	Interneurons
VIP	Interneurons
CRHR1	Interneurons
PACSIN1	Interneurons
SYN1	Interneurons
FGF12	Interneurons
NXPH1	Interneurons
SYT7	Interneurons
PTPRO	Interneurons
DLGAP1	Interneurons
GNG4	Interneurons
HAP1	Interneurons
SHISA8	Interneurons
PCBP3	Interneurons
ABAT	Interneurons
PCP4L1	Interneurons
GAL	Interneurons
TH	Interneurons
SYNPR	Interneurons
TRH	Interneurons
ADCY8	Interneurons
CTGF	Interneurons
EML5	Interneurons
TMEM132D	Interneurons
BACE1	Interneurons
CACNG2	Interneurons
ISCA1	Interneurons
LPGAT1	Interneurons
NAT14	Interneurons
SLC12A5	Interneurons
DEPTOR	Interneurons
SLC22A15	Interneurons
PDE4A	Interneurons
CACNA1I	Interneurons
FRYL	Interneurons
CAR11	Interneurons
SURF1	Interneurons
TRIM9	Interneurons
KCNC1	Interneurons
RAB3B	Interneurons
CDK17	Interneurons
RGS17	Interneurons
ABCC5	Interneurons
RAB26	Interneurons
VLDLR	Interneurons
CACNG7	Interneurons
INAFM1	Interneurons
BRINP1	Interneurons
PIANP	Interneurons
CPLX1	Interneurons
SHISA6	Interneurons
DHRS3	Interneurons
GRIA4	Interneurons
NRSN2	Interneurons
CDHR1	Interneurons
ABR	Interneurons
NRN1	Interneurons
HIVEP2	Interneurons
NXPH4	Interneurons
CDH4	Interneurons
CHST1	Interneurons
SHISA9	Interneurons
EOMES	Interneurons
NMB	Interneurons
LY6G6E	Interneurons
CALN1	Interneurons
CASK	Interneurons
CACNA1E	Interneurons
FAM81A	Interneurons
CAMKV	Interneurons
ARHGAP21	Interneurons
DDN	Interneurons
SV2B	Interneurons
FRRS1L	Interneurons
ACSL4	Interneurons
CAMK4	Interneurons
NPTXR	Interneurons
LINGO1	Interneurons
HPCAL4	Interneurons
LMO3	Interneurons
LYPD1	Interneurons
CHN1	Interneurons
NRGN	Interneurons
SLC17A7	Interneurons
CAMK2A	Interneurons
PRKCB	Interneurons
NCALD	Interneurons
RAB15	Interneurons
FBXW11	Interneurons
ADCY1	Interneurons
FBXO11	Interneurons
IGSF21	Interneurons
SRGAP3	Interneurons
NTNG1	Interneurons
MAGEE1	Interneurons
SCAMP1	Interneurons
PSD3	Interneurons
RORA	Interneurons
DCAF7	Interneurons
VGF	Interneurons
EID2	Interneurons
RGMA	Interneurons
SCRT1	Interneurons
POU2F2	Interneurons
NBEA	Interneurons
SRGAP1	Interneurons
FCHSD2	Interneurons
SLC16A1	Interneurons
SLC36A1	Interneurons
ATG12	Interneurons
SLC17A6	Interneurons
AGAP1	Interneurons
ZDHHC22	Interneurons
ACBD5	Interneurons
AQP4	Interneurons
TMEM163	Interneurons
ZDHHC17	Interneurons
KITL	Interneurons
ZIC4	Interneurons
NEFM	Interneurons
L1CAM	Interneurons
IDS	Interneurons
DNM3	Interneurons
DNAJC6	Interneurons
ADGRA1	Interneurons
DZANK1	Interneurons
SCN2B	Interneurons
HSPA12A	Interneurons
SYT13	Interneurons
RAMP3	Interneurons
LYNX1	Interneurons
KCNA2	Interneurons
OXR1	Interneurons
DISP2	Interneurons
PCSK2	Interneurons
SHOX2	Interneurons
SCN8A	Interneurons
AAK1	Interneurons
GABRA4	Interneurons
NRIP3	Interneurons
HLF	Interneurons
PRKCD	Interneurons
PTPN3	Interneurons
KCNC2	Interneurons
CDKL5	Interneurons
CCDC136	Interneurons
KCNMA1	Interneurons
SPOCK3	Interneurons
PTPN4	Interneurons
PDP1	Interneurons
RGS7BP	Interneurons
PLCB4	Interneurons
GABBR2	Interneurons
ELMO1	Interneurons
ADARB1	Interneurons
ILDR2	Interneurons
AKAP8L	Interneurons
SPTY2D1	Interneurons
PCF11	Interneurons
PARM1	Interneurons
PITX2	Interneurons
PITX1	Interneurons
CLDN9	Interneurons
TCEAL3	Interneurons
KCNK9	Interneurons
TSHB	Interneurons
RORB	Interneurons
GATA2	Interneurons
TIMELESS	Interneurons
CXCL14	Interneurons
APOC3	Interneurons
CES1D	Interneurons
CGA	Interneurons
ADORA2A	Interneurons
RPRML	Interneurons
CACNB1	Interneurons
KCNQ5	Interneurons
PRKCG	Interneurons
GABRA5	Interneurons
PAX6	Interneurons
PNOC	Interneurons
HTR3A	Interneurons
RELN	Interneurons
CALB2	Interneurons
PDE1A	Interneurons
ADGRL2	Interneurons
KCNIP2	Interneurons
RGS10	Interneurons
NOV	Interneurons
CPNE5	Interneurons
SLC5A7	Interneurons
CRH	Interneurons
GDA	Interneurons
SEMA3E	Interneurons
DLX1	Interneurons
DLX2	Interneurons
DLX5	Interneurons
ARX	Interneurons
NDNF	Interneurons
FOXI1	Ionocytes
CFTR	Ionocytes
ASCL3	Ionocytes
CYP2F2	Ionocytes
SCGB1A1	Ionocytes
FOXN4	Ionocytes
TFCP2L1	Ionocytes
SLC12A2	Ionocytes
CLCNKB	Ionocytes
KCNMA1	Ionocytes
SLC9A4	Ionocytes
SLC9A7	Ionocytes
TRPV4	Juxtaglomerular cells
TH	Juxtaglomerular cells
REN1	Juxtaglomerular cells
AKR1B7	Juxtaglomerular cells
ACTA2	Juxtaglomerular cells
MYH11	Juxtaglomerular cells
CNN1	Juxtaglomerular cells
FLG	Keratinocytes
KPRP	Keratinocytes
ICAM1	Keratinocytes
IVL	Keratinocytes
TGM1	Keratinocytes
KRT1	Keratinocytes
KRT5	Keratinocytes
KRT14	Keratinocytes
KRT16	Keratinocytes
KRT17	Keratinocytes
LAMA5	Keratinocytes
LCN2	Keratinocytes
PLEC	Keratinocytes
SPRR1A	Keratinocytes
SPRR1B	Keratinocytes
GJB3	Keratinocytes
IRF3	Keratinocytes
LAMC2	Keratinocytes
SIRT7	Keratinocytes
RIPK4	Keratinocytes
REL	Keratinocytes
IL13RA1	Keratinocytes
SGPP1	Keratinocytes
PKP3	Keratinocytes
PKP1	Keratinocytes
ANXA8	Keratinocytes
TRIM29	Keratinocytes
DSC3	Keratinocytes
FST	Keratinocytes
AQP3	Keratinocytes
KRT15	Keratinocytes
S100A14	Keratinocytes
DMKN	Keratinocytes
ENTPD2	Keratinocytes
FGF5	Keratinocytes
NGFR	Keratinocytes
TFAP2A	Keratinocytes
LGALS7	Keratinocytes
CXCL1	Keratinocytes
CCL2	Keratinocytes
SFN	Keratinocytes
KRT10	Keratinocytes
SBSN	Keratinocytes
KRT84	Keratinocytes
KRT36	Keratinocytes
OSR1	Kidney progenitor cells
PAX2	Kidney progenitor cells
EYA1	Kidney progenitor cells
WT1	Kidney progenitor cells
SIX2	Kidney progenitor cells
SALL1	Kidney progenitor cells
CITED1	Kidney progenitor cells
TNF	Kupffer cells
MPO	Kupffer cells
VSIG4	Kupffer cells
PROK2	Kupffer cells
STARD5	Kupffer cells
MSR1	Kupffer cells
TLR9	Kupffer cells
PPARA	Kupffer cells
TREM1	Kupffer cells
SLC11A1	Kupffer cells
TLR4	Kupffer cells
MMP13	Kupffer cells
CD14	Kupffer cells
VDR	Kupffer cells
CHIT1	Kupffer cells
OSM	Kupffer cells
PPARD	Kupffer cells
CLEC4F	Kupffer cells
ADGRE1	Kupffer cells
IL1B	Kupffer cells
SLC40A1	Kupffer cells
FCNA	Kupffer cells
TIMD4	Kupffer cells
MNDA	Kupffer cells
SLC15A3	Kupffer cells
DNASE1L3	Kupffer cells
MARCO	Kupffer cells
EAR2	Kupffer cells
HFE	Kupffer cells
CD38	Kupffer cells
ADGRE4	Kupffer cells
CD163	Kupffer cells
CCR5	Kupffer cells
CLEC1B	Kupffer cells
SIGLECF	Kupffer cells
CLEC4G	Kupffer cells
GPIHBP1	Kupffer cells
FOLR2	Kupffer cells
PLTP	Kupffer cells
IRF7	Kupffer cells
SPIC	Kupffer cells
CSF1R	Kupffer cells
C1QC	Kupffer cells
C1QA	Kupffer cells
C1QB	Kupffer cells
CLEC4E	Kupffer cells
ACHE	Langerhans cells
CD207	Langerhans cells
EHF	Langerhans cells
PRKCB	Langerhans cells
AHR	Langerhans cells
GPNMB	Langerhans cells
EPCAM	Langerhans cells
CD80	Langerhans cells
PTPRC	Langerhans cells
TLR2	Langerhans cells
TLR4	Langerhans cells
TLR9	Langerhans cells
CCR6	Langerhans cells
DEFB3	Langerhans cells
CLDN1	Langerhans cells
HSD11B2	Leydig cells
MAFB	Leydig cells
ALDH1A1	Leydig cells
SLC9A8	Leydig cells
KISS1	Leydig cells
PDE8A	Leydig cells
LEP	Leydig cells
CXCL10	Leydig cells
PTCH1	Leydig cells
GATA4	Leydig cells
ACSBG1	Leydig cells
INHA	Leydig cells
HSD3B1	Leydig cells
DHCR7	Leydig cells
CALB2	Leydig cells
CYP17A1	Leydig cells
CYP11A1	Leydig cells
IGF1	Leydig cells
INSL3	Leydig cells
NR5A2	Leydig cells
LHCGR	Leydig cells
MLANA	Leydig cells
RLN1	Leydig cells
RLN3	Leydig cells
TAC1	Leydig cells
STAR	Leydig cells
THBS2	Leydig cells
PTGDS	Leydig cells
LCN2	Leydig cells
HSD17B3	Leydig cells
ASS1	Leydig cells
PRLR	Leydig cells
REN1	Leydig cells
AKR1CL	Leydig cells
CYP26B1	Leydig cells
IGF2	Leydig cells
IGFBP5	Leydig cells
CFD	Leydig cells
DLK1	Leydig cells
IGFBP3	Leydig cells
INHBA	Leydig cells
VIT	Leydig cells
ALDH1A3	Leydig cells
NOS1	Leydig cells
EDNRA	Leydig cells
SMOC2	Leydig cells
ADAM21	Leydig cells
ESRRG	Leydig cells
GPRC6A	Leydig cells
GJA1	Leydig cells
GAS6	Leydig cells
SULT1E1	Leydig cells
CYP19A1	Leydig cells
PLAUR	Leydig cells
FABP9	Leydig cells
CLDN16	Loop of Henle cells
CLDN8	Loop of Henle cells
UMOD	Loop of Henle cells
FABP4	Loop of Henle cells
AQP1	Loop of Henle cells
CLDN10	Loop of Henle cells
CLDN19	Loop of Henle cells
SLC12A1	Loop of Henle cells
DEFB1	Loop of Henle cells
CLCNKA	Loop of Henle cells
TRPM7	Loop of Henle cells
CDH6	Loop of Henle cells
LCN2	Loop of Henle cells
DKK1	Loop of Henle cells
DACH1	Loop of Henle cells
SLC12A3	Loop of Henle cells
SLC11A2	Loop of Henle cells
ARVCF	Loop of Henle cells
RGS5	Loop of Henle cells
COX4I2	Loop of Henle cells
CYP4B1	Loop of Henle cells
PARVB	Loop of Henle cells
SH3RF2	Loop of Henle cells
HEY2	Loop of Henle cells
NKAIN4	Loop of Henle cells
ADAMTS5	Loop of Henle cells
CXCL1	Loop of Henle cells
GEM	Loop of Henle cells
FGA	Loop of Henle cells
PLA2G7	Loop of Henle cells
THBS1	Loop of Henle cells
ENC1	Loop of Henle cells
SPSB1	Loop of Henle cells
ARID5A	Loop of Henle cells
CD40	Loop of Henle cells
SLC14A2	Loop of Henle cells
NRGN	Loop of Henle cells
RNF182	Loop of Henle cells
PCSK9	Loop of Henle cells
DRAM1	Loop of Henle cells
ARC	Loop of Henle cells
NEK6	Loop of Henle cells
CDKN1C	Loop of Henle cells
CALCRL	Loop of Henle cells
SMARCD3	Loop of Henle cells
KCNT1	Loop of Henle cells
PTGS2	Loop of Henle cells
IRX2	Loop of Henle cells
PPP1R1B	Loop of Henle cells
LIPG	Loop of Henle cells
TNNI1	Loop of Henle cells
LRRC66	Loop of Henle cells
IGF1	Loop of Henle cells
FGFR2	Luminal epithelial cells
FGG	Luminal epithelial cells
KRT18	Luminal epithelial cells
SLPI	Luminal epithelial cells
PROM1	Luminal epithelial cells
KRT19	Luminal epithelial cells
SYTL2	Luminal epithelial cells
CD74	Luminal epithelial cells
AGR2	Luminal epithelial cells
LTF	Luminal epithelial cells
SAA2	Luminal epithelial cells
KRT23	Luminal epithelial cells
WFDC2	Luminal epithelial cells
LCN2	Luminal epithelial cells
BTG1	Luminal epithelial cells
CLDN4	Luminal epithelial cells
ANXA1	Luminal epithelial cells
HMGA1	Luminal epithelial cells
STC2	Luminal epithelial cells
AREG	Luminal epithelial cells
TNFSF10	Luminal epithelial cells
PIP	Luminal epithelial cells
ATP7B	Luminal epithelial cells
HIF1A	Luminal epithelial cells
FGFR4	Luminal epithelial cells
DDR1	Luminal epithelial cells
CEBPD	Luminal epithelial cells
PGR	Luminal epithelial cells
KRT8	Luminal epithelial cells
UXT	Luminal epithelial cells
PTH1R	Luminal epithelial cells
CD9	Luminal epithelial cells
AR	Luminal epithelial cells
AQP3	Luminal epithelial cells
ATP2C2	Luminal epithelial cells
WNT5A	Luminal epithelial cells
SLC12A2	Luminal epithelial cells
ESR1	Luminal epithelial cells
AQP5	Luminal epithelial cells
RUNX1	Luminal epithelial cells
CDH1	Luminal epithelial cells
MUC1	Luminal epithelial cells
ANPEP	Luminal epithelial cells
AKT1	Luteal cells
LHCGR	Luteal cells
HSD3B1	Luteal cells
CYP11A1	Luteal cells
EPHX2	Luteal cells
SFRP4	Luteal cells
PLIN5	Luteal cells
BHMT	Luteal cells
PGAM1	Luteal cells
CHKA	Luteal cells
ADAMTS1	Luteal cells
SLC16A2	Luteal cells
PMPCB	Luteal cells
SDC1	Luteal cells
BCAT1	Luteal cells
RORA	Luteal cells
AIF1L	Luteal cells
DHCR7	Luteal cells
EPDR1	Luteal cells
AVPI1	Luteal cells
GAMT	Luteal cells
PRLR	Luteal cells
TMEM86A	Luteal cells
CITED4	Luteal cells
DYNLT1A	Luteal cells
GAPDH	Luteal cells
FKBP5	Luteal cells
ME1	Luteal cells
ITGAL	Macrophages
ITGAM	Macrophages
CD14	Macrophages
FUT4	Macrophages
CD33	Macrophages
CD80	Macrophages
CD86	Macrophages
CD163	Macrophages
CCR5	Macrophages
TLR2	Macrophages
TLR4	Macrophages
ADGRE1	Macrophages
GPR34	Macrophages
CCL9	Macrophages
TREM2	Macrophages
FABP4	Macrophages
S100A8	Macrophages
WFDC17	Macrophages
CPM	Macrophages
CHIT1	Macrophages
F13A1	Macrophages
H2-DMA	Macrophages
